user_id,display_name,reputation,gold_badges,silver_badges,bronze_badges,days_since_last_access,kmeans_cluster,kmeans_level,quality_score
1048572,Bergi,670998,162,1037,1491,5,0,Weak,0.17653675
939860,Erwin Brandstetter,669612,160,1165,1329,5,0,Weak,0.175190537
88656,Eric Lippert,663658,185,1265,2091,8,0,Weak,0.198534811
217408,G&#252;nter Z&#246;chbauer,661776,235,2067,1609,7,0,Weak,0.216355915
53114,Gumbo,657569,112,793,852,3026,1,Strong,0.240784139
13249,Nick Craver,631420,138,1307,1160,459,0,Weak,0.179061819
3832970,Wiktor Stribiżew,631195,41,504,634,9,0,Weak,0.114512895
18393,cletus,627076,169,922,945,641,0,Weak,0.178321498
505088,David Heffernan,616465,46,1128,1538,5,0,Weak,0.146300369
65863,Remy Lebeau,610672,36,517,874,5,0,Weak,0.115945026
279627,Sven Marnach,608172,123,969,866,14,0,Weak,0.14488734
209103,Frank van Puffelen,603664,85,896,869,5,0,Weak,0.134002229
104349,Daniel Roseman,601893,68,911,924,11,0,Weak,0.131657466
9951,Bite code,600921,118,310,336,695,0,Weak,0.138960787
203907,Bozho,599182,147,1074,1153,89,0,Weak,0.15983692
70604,Pascal Thivent,572020,140,1071,1134,41,0,Weak,0.152649498
20860,Bill Karwin,567772,87,712,874,5,0,Weak,0.125809986
65358,Reed Copsey,566797,80,1187,1393,459,0,Weak,0.159883039
1968,Konrad Rudolph,549705,142,968,1257,5,0,Weak,0.149390344
9021,nickf,547942,199,660,727,60,0,Weak,0.145678015
1187415,Martin R,541517,98,1280,1436,5,0,Weak,0.149004767
341994,matt,540264,97,949,1262,5,0,Weak,0.137773064
1126841,chepner,538731,77,596,749,6,0,Weak,0.114562501
18936,bobince,538187,111,675,846,16,0,Weak,0.126180387
57695,Peter Lawrey,535155,83,771,1153,48,0,Weak,0.129171046
12950,tvanfosson,534299,102,703,801,8,0,Weak,0.123034912
148870,Amber,531843,89,643,558,22,0,Weak,0.11375738
224671,kennytm,526297,111,1099,1015,791,0,Weak,0.16198944
1863229,Tim Biegeleisen,526151,32,324,399,5,0,Weak,0.089457408
476,deceze,524944,89,807,955,5,0,Weak,0.124317888
3681880,Suragch,516546,340,1425,1438,69,0,Weak,0.204948065
34509,Johannes Schaub - litb,510084,132,928,1226,5,0,Weak,0.140344979
87234,GManNickG,506443,56,505,551,5,0,Weak,0.099335387
367273,NPE,503359,114,971,1030,13,0,Weak,0.132410114
119963,Cascabel,502159,76,385,319,18,0,Weak,0.096101608
1583,Oded,500880,102,901,1026,103,0,Weak,0.130670889
1256452,torek,500327,71,767,894,5,0,Weak,0.114845035
179910,Jerry Coffin,494770,83,658,1154,5,0,Weak,0.12000509
31671,alex,492354,205,891,992,185,0,Weak,0.154216671
16417,Paolo Bergantino,490160,83,525,437,13,0,Weak,0.101441113
734069,Nicol Bolas,482092,66,864,1071,5,0,Weak,0.117167863
67579,willeM_ Van Onsem,482068,33,484,624,18,0,Weak,0.092467288
596781,Kerrek SB,480854,96,905,1106,589,0,Weak,0.143921108
771848,alecxe,476003,127,1129,1234,6,0,Weak,0.139204859
922184,Mysticial,473073,46,343,337,926,2,Average,0.113892575
223092,Mark Longair,472699,77,428,330,70,0,Weak,0.095208545
284240,Tim Schmelter,461913,79,721,981,5,0,Weak,0.112379211
95592,Matthew Rankin,461357,39,130,166,7,0,Weak,0.073281184
263693,Stephen Cleary,460774,78,723,859,5,0,Weak,0.109436017
73226,Martin Smith,457339,97,778,887,5,0,Weak,0.115005299
227665,codaddict,457206,83,503,538,713,0,Weak,0.121007114
45375,mklement0,453841,68,730,992,5,0,Weak,0.109272865
187606,Pekka,451163,150,990,1099,588,0,Weak,0.153672177
1271826,Rob,441442,74,852,1124,5,0,Weak,0.114407176
155423,Shepmaster,440307,116,1267,1517,12,0,Weak,0.14119773
50079,Jon,439412,85,757,820,15,0,Weak,0.108364353
479863,mu is too short,436490,71,863,822,5,0,Weak,0.106849842
27535,gbn,434668,85,602,690,668,0,Weak,0.122396011
55159,Quassnoi,427626,94,629,624,5,0,Weak,0.101537827
256196,Bohemian,427614,103,605,751,12,0,Weak,0.105971818
33708,Mehrdad Afshari,424044,93,864,796,381,0,Weak,0.121535299
1705598,icza,423239,78,1016,906,6,0,Weak,0.11176516
276052,aioobe,422720,115,831,844,6,0,Weak,0.114659221
3043,Joel Coehoorn,418615,114,582,820,5,0,Weak,0.107988293
4279,jfs,417407,211,1040,1744,5,0,Weak,0.159124637
182668,Pointy,415247,62,600,633,35,0,Weak,0.093258736
28804,mipadi,413994,91,538,489,5,0,Weak,0.0942026
440558,Some programmer dude,411643,36,422,658,5,0,Weak,0.082720533
1288,Bill the Lizard,407558,213,579,892,5,0,Weak,0.130111954
4909087,coldspeed95,406627,106,745,798,23,0,Weak,0.108207848
104891,CrazyCoder,405208,183,1025,945,6,0,Weak,0.133850812
21234,skaffman,404655,96,826,775,5,0,Weak,0.106386824
9530,Adam Rosenfield,402726,103,525,600,7,0,Weak,0.097539959
28169,unwind,401987,64,492,620,7,0,Weak,0.088444648
138475,Pascal MARTIN,401968,82,665,666,29,0,Weak,0.097868947
85371,sehe,400848,49,475,675,5,0,Weak,0.085688478
541136,Aaron Hall,400620,93,417,342,9,0,Weak,0.087244521
704848,EdChum,396850,204,837,583,1888,2,Average,0.185527635
1221571,Eran,395154,57,726,793,7,0,Weak,0.094702409
267,Lasse V. Karlsen,394124,108,652,845,47,0,Weak,0.10675603
895245,Ciro Santilli OurBigBook.com,393710,121,1346,1105,5,0,Weak,0.1287563
10661,S.Lott,392994,83,522,792,295,0,Weak,0.104980877
216074,poke,392071,80,596,632,5,0,Weak,0.093126297
589924,ikegami,391898,17,292,558,5,0,Weak,0.070904502
3962914,Ronak Shah,390869,20,173,237,14,0,Weak,0.062295861
7432,Bryan Oakley,388940,53,586,741,5,0,Weak,0.08879248
114251,Arun P Johny,388767,68,533,532,80,0,Weak,0.08889582
1447675,Nina Scholz,387920,26,367,417,5,0,Weak,0.070980228
77567,rob mayoff,387515,69,842,887,5,0,Weak,0.100806856
560648,Lightness Races in Orbit,387052,77,674,1095,1803,2,Average,0.16058696
276101,polygenelubricants,385282,129,569,627,2422,2,Average,0.179395766
263525,Denys S&#233;guret,384065,90,813,780,19,0,Weak,0.102571375
139459,Sarfraz,383564,81,561,614,1578,2,Average,0.141132435
224132,Peter Cordes,378797,50,751,1026,5,0,Weak,0.096415429
14343,Ned Batchelder,378471,77,583,675,5,0,Weak,0.091281696
1240268,Andy Hayden,378403,110,640,546,2084,2,Average,0.163269576
501557,templatetypedef,375939,113,954,1106,6,0,Weak,0.116221162
3597276,Michael Benjamin,375906,110,617,739,10,0,Weak,0.100573494
9515207,CertainPerformance,373595,55,354,359,268,0,Weak,0.082397497
149392,sepp2k,371914,56,687,687,5,0,Weak,0.088207073
2225682,falsetru,371468,69,770,660,5,0,Weak,0.092259552
2988,J&#246;rg W Mittag,371114,79,457,666,6,0,Weak,0.087876709
2016562,Gabriele Mariotti,370407,114,1021,939,12,0,Weak,0.113764323
143305,Dirk is no longer here,369990,60,669,742,717,0,Weak,0.112291219
674039,wim,368841,114,682,822,5,0,Weak,0.103539312
908494,abarnert,368042,54,627,692,684,0,Weak,0.107667262
166749,Fred Foo,365400,80,765,852,3568,1,Strong,0.211290169
413501,Ladislav Mrnka,365029,60,666,673,561,0,Weak,0.105123922
215945,Mark Rajcok,365015,114,501,495,91,0,Weak,0.094875726
68587,John Kugelman,364780,70,555,600,5,0,Weak,0.085683405
26428,Dennis Williamson,364200,96,387,446,26,0,Weak,0.085176279
171456,Carol Skelly,364124,92,741,651,155,0,Weak,0.100376282
415784,Sarfaraz Nawaz,363621,121,682,867,16,0,Weak,0.105719994
118068,Marc B,361605,44,433,508,3373,1,Strong,0.182033347
139010,Matt Ball,361054,102,656,725,12,0,Weak,0.097406531
4883,readonly,358584,109,207,207,880,0,Weak,0.105522656
5459839,trincot,357371,38,282,340,5,0,Weak,0.06610966
151292,James McNellis,357121,76,934,983,780,0,Weak,0.127009707
73070,Joey,356964,88,705,700,153,0,Weak,0.098737785
487339,DSM,355328,67,606,504,7,0,Weak,0.082857638
34211,Andrew Hare,353238,75,649,642,16,0,Weak,0.088530611
938089,Rob W,350536,87,811,683,1934,2,Average,0.156246693
3153,Brian R. Bondy,349572,129,607,641,1598,2,Average,0.149525997
642706,Basil Bourque,347956,130,952,1314,5,0,Weak,0.12066213
992484,MadProgrammer,347655,22,243,379,140,0,Weak,0.065529595
16883,Michael Borgwardt,347392,81,491,726,81,0,Weak,0.089559767
131527,ghostdog74,346517,62,264,349,4083,1,Strong,0.19959921
222908,Daniel Vassallo,345827,72,514,447,130,0,Weak,0.083423123
94197,Andy E,345790,86,482,452,5,0,Weak,0.081987852
70393,karim79,343058,67,420,409,214,0,Weak,0.081774856
4124317,ImportanceOfBeingErnest,342510,61,740,773,1715,2,Average,0.142795874
5190,Vinko Vrsalovic,342472,55,341,374,244,0,Weak,0.077522022
12711,Michael Burr,342279,52,553,774,6,0,Weak,0.082370749
605744,Tomasz Nurkiewicz,342187,72,714,680,7,0,Weak,0.088310005
6782,Alnitak,340965,72,420,503,7,0,Weak,0.078037318
18771,Tomalak,339614,68,547,635,7,0,Weak,0.082518806
2887218,jcalz,339601,29,452,450,5,0,Weak,0.06773664
519413,Rory McCrossan,337903,41,322,353,5,0,Weak,0.065320462
20670,Tim Pietzcker,337533,59,521,572,7,0,Weak,0.078322684
69755,Brian Campbell,335500,59,367,344,5,0,Weak,0.069797183
51816,Joan Venge,334119,226,499,713,17,0,Weak,0.118048023
135152,OMG Ponies,334020,85,536,509,1373,2,Average,0.1261069
1560062,zero323,331481,108,982,958,541,0,Weak,0.123630767
34088,Aaron Digulla,330151,111,626,840,8,0,Weak,0.096982423
829571,assylias,330130,84,680,806,5,0,Weak,0.091284217
398670,Craig Ringer,329331,84,743,821,6,0,Weak,0.092885103
46058,Jakub Narębski,327744,67,230,235,5,0,Weak,0.065271425
507674,Niet the Dark Absol,325746,86,480,604,1076,2,Average,0.11660395
96100,Tim Down,325681,76,461,546,39,0,Weak,0.079711704
131872,camickr,324731,21,174,293,5,0,Weak,0.054627027
7964527,BENY,324040,22,176,250,735,0,Weak,0.077111019
113716,user113716,323098,64,454,441,5209,1,Strong,0.238806675
24181,Greg,322902,55,378,338,1226,2,Average,0.106184741
187690,AnT stands with Russia,322741,44,548,794,1006,2,Average,0.110118067
12855,SilentGhost,322391,67,312,294,2489,2,Average,0.146628264
807126,Doug Stevenson,320647,37,458,474,5,0,Weak,0.067637642
298479,ThiefMaster,320049,85,608,648,7,0,Weak,0.085296721
1226963,rmaddy,319560,44,548,591,1176,2,Average,0.11075918
965051,adeneo,319140,29,410,392,86,0,Weak,0.065439488
147356,larsks,318642,50,476,484,5,0,Weak,0.070876164
208809,Gordon,317965,76,548,566,23,0,Weak,0.080471652
2422776,Mureinik,316311,54,406,407,5,0,Weak,0.06830598
75170,John Feminella,313573,49,348,362,5,0,Weak,0.064613133
24874,Drew Noakes,313470,174,704,770,13,0,Weak,0.109173022
2877241,Vlad from Moscow,313337,27,204,359,5,0,Weak,0.056504799
1259510,JohnnyHK,312953,70,632,479,5,0,Weak,0.07783375
2069064,Barry,312411,33,740,1100,10,0,Weak,0.085263814
748858,mgilson,312178,70,658,723,12,0,Weak,0.083733647
207421,user207421,311904,45,324,493,6,0,Weak,0.065815645
113962,Alasdair,310285,59,605,534,26,0,Weak,0.076284267
5987,Mark Ransom,310069,45,423,660,5,0,Weak,0.071241477
37213,duffymo,309671,46,377,572,5,0,Weak,0.06853953
40342,Joachim Sauer,309339,59,568,624,5,0,Weak,0.076620115
174728,John La Rooy,306291,54,379,514,37,0,Weak,0.069696327
116,Mark Harrison,306224,132,355,498,5,0,Weak,0.08524079
405017,Phrogz,304546,115,671,758,6,0,Weak,0.093608654
147192,Matthieu M.,303728,58,498,754,5,0,Weak,0.076924616
526535,manojlds,303659,66,483,426,6,0,Weak,0.071393348
6521,Paul Dixon,302111,54,315,349,5,0,Weak,0.063213111
16076,Mitch Wheat,301722,44,482,552,156,0,Weak,0.073666772
97337,Rob Napier,301449,37,494,660,9,0,Weak,0.069957477
2711488,Holger,301196,43,483,832,5,0,Weak,0.074581396
342852,Sean Patrick Floyd,300682,72,481,598,50,0,Weak,0.077374737
464744,Blender,300282,55,463,513,2123,2,Average,0.137283048
14122,Charles Duffy,299667,43,442,498,5,0,Weak,0.06634829
53013,Daniel C. Sobral,297836,88,509,688,277,0,Weak,0.090321963
105929,Remus Rusanu,295705,42,459,583,110,0,Weak,0.071121919
2336654,piRSquared,295656,68,510,656,194,0,Weak,0.082257289
98713,Thomas Levesque,293819,73,640,769,6,0,Weak,0.082360516
1983854,fedorqui,293811,113,595,642,9,0,Weak,0.087708083
5133585,Sweeper,293285,23,262,442,5,0,Weak,0.055958446
1529630,Oriol,290914,71,459,535,1445,2,Average,0.118417954
6068,Pablo Fernandez,289714,141,406,653,21,0,Weak,0.08997152
35070,phihag,289506,75,475,489,5,0,Weak,0.0726602
325565,Joe Kington,286736,73,621,474,24,0,Weak,0.075266699
47773,Matthew Flaschen,286549,53,525,555,11,0,Weak,0.070027855
2357112,user2357112,286443,32,492,574,5,0,Weak,0.064827032
5044042,vadian,286217,32,378,379,5,0,Weak,0.058172616
103167,Ben Voigt,286068,45,445,765,5,0,Weak,0.070758684
522444,Hovercraft Full Of Eels,285776,25,268,391,19,0,Weak,0.054886483
65387,mpen,285261,291,897,1312,5,0,Weak,0.147047988
5928186,Shubham Khatri,283943,58,431,411,197,0,Weak,0.07161345
21886,RichieHindle,283670,49,367,408,9,0,Weak,0.062142954
61305,Aaron Bertrand,282201,37,469,468,5,0,Weak,0.062615356
438154,Sotirios Delimanolis,281096,62,718,744,27,0,Weak,0.080015105
13005,Steve Jessop,280934,40,473,709,202,0,Weak,0.074628866
8620333,Temani Afif,280742,31,381,506,5,0,Weak,0.060000791
1774667,Yakk - Adam Nevraumont,280429,31,367,587,5,0,Weak,0.061391341
8394265,R&#233;mi Rousselet,280029,89,560,456,15,0,Weak,0.075963828
390330,basarat,278388,61,475,528,21,0,Weak,0.069391798
1348195,Benjamin Gruenbaum,277765,91,524,524,5,0,Weak,0.076471476
63051,flybywire,276752,201,408,509,288,0,Weak,0.107107523
8206,Eli Bendersky,276499,92,372,427,18,0,Weak,0.071595462
7412,dogbane,276479,77,407,415,1423,2,Average,0.113446277
60761,Henk Holterman,275697,33,353,540,5,0,Weak,0.059899987
179736,TIMEX,274872,370,805,1100,270,0,Weak,0.165233055
129570,Oliver Charlesworth,273885,34,591,688,1608,2,Average,0.11917685
516548,G. Grothendieck,273606,18,221,365,5,0,Weak,0.049685676
87015,Salman Arshad,273594,85,450,541,5,0,Weak,0.073346661
12960,Brian Agnew,273433,38,342,443,6,0,Weak,0.05843472
174777,John Rotenstein,273042,28,457,543,25,0,Weak,0.061365325
596285,BMitch,271503,52,555,513,5,0,Weak,0.067351961
541091,Michael Berkowski,271370,47,452,395,6,0,Weak,0.061508756
6618622,CopsOnRoad,271364,97,702,471,19,0,Weak,0.080096953
55847,LukeH,271080,59,375,411,2195,2,Average,0.132496193
3474,erickson,270575,59,407,502,6,0,Weak,0.065406343
112968,knittl,269687,59,339,405,5,0,Weak,0.061718059
54680,Sampson,268885,76,547,570,134,0,Weak,0.077518491
458193,Dan Abramov,268652,87,418,524,5,0,Weak,0.072082213
39677,Blankman,268620,332,801,1259,72,0,Weak,0.152922934
49153,Ali,268058,270,595,789,8,0,Weak,0.122469185
16343464,mozway,267218,13,56,107,5,0,Weak,0.038646828
14065,Loki Astari,266706,87,344,576,5,0,Weak,0.071344078
827263,Keith Thompson,265914,46,449,668,5,0,Weak,0.066302957
252000,fredoverflow,264906,101,406,681,635,0,Weak,0.097860242
491243,John Woo,264576,70,509,501,7,0,Weak,0.069267642
1855677,IRTFM,264271,22,381,504,6,0,Weak,0.055780669
464709,Fr&#233;d&#233;ric Hamidi,263914,42,497,486,5,0,Weak,0.062279645
14955,Thilo,263836,107,527,674,593,0,Weak,0.100173797
12299030,Asperi,262443,28,594,890,5,0,Weak,0.069686063
126042,Mark Rushakoff,260376,47,412,401,2886,2,Average,0.150956715
673730,Luchian Grigore,259798,68,465,634,5,0,Weak,0.070019474
12597,Ian Boyd,259472,272,922,1285,5,0,Weak,0.139320557
6464308,Laurenz Albe,257930,22,314,392,5,0,Weak,0.051065221
3730754,LoicTheAztec,256750,25,404,452,10,0,Weak,0.054956504
251311,zerkms,256177,74,448,551,5,0,Weak,0.06873534
204847,Mike Seymour,255882,30,468,658,3858,1,Strong,0.184192769
82548,David Thomas,254120,53,382,421,6,0,Weak,0.059598787
125734,Titian Cernicova-Dragomir,253332,37,466,396,7,0,Weak,0.057221304
75525,Fenton,253025,74,405,414,7,0,Weak,0.064521998
1427416,BrenBarn,253001,39,421,393,5,0,Weak,0.056528581
4323,John Zwinck,252423,44,347,459,9,0,Weak,0.057517198
846892,Ashwini Chaudhary,252242,60,479,520,12,0,Weak,0.065307704
33213,Stack Overflow is garbage,249681,53,356,558,444,0,Weak,0.075317028
5233410,Nkosi,249500,38,472,506,5,0,Weak,0.05935273
426671,Taryn,248992,57,375,409,14,0,Weak,0.059655595
7552,glenn jackman,248846,42,233,364,5,0,Weak,0.051981346
41071,svick,246735,54,407,536,43,0,Weak,0.063012689
366904,Cody Gray,246167,53,514,591,6,0,Weak,0.065013824
84651,Justin Niessner,245916,40,416,546,81,0,Weak,0.061391657
6622587,eyllanesc,245652,19,206,283,6,0,Weak,0.044133336
152948,hobbs,245276,20,225,304,5,0,Weak,0.045132751
1030675,choroba,244985,27,221,304,5,0,Weak,0.046572152
36305,Dimitre Novatchev,244299,27,308,438,5,0,Weak,0.051218912
634824,Matt Johnson-Pint,243984,75,469,622,6,0,Weak,0.069334462
1199,Blair Conrad,243770,25,137,114,66,0,Weak,0.042032051
33518,Tomas Petricek,243644,22,397,563,53,0,Weak,0.056130347
1566221,rici,243530,30,263,364,1073,2,Average,0.083221161
103154,axtavt,243354,42,518,486,239,0,Weak,0.067433883
115730,Dave DeLong,243293,58,453,499,106,0,Weak,0.065649358
45914,jason,242698,36,437,532,3521,1,Strong,0.169687332
2680216,Josh Crozier,242527,56,401,316,6,0,Weak,0.056883759
260990,Jigar Joshi,241432,42,409,446,43,0,Weak,0.057740515
248823,Marcin,241345,16,316,368,7,0,Weak,0.047104316
48523,Andrew,241329,196,532,721,6,0,Weak,0.099492519
134633,caf,241081,42,344,480,36,0,Weak,0.056800808
8985,Ryan McGeary,241013,13,100,104,5,0,Weak,0.03603184
15498,Damien_The_Unbeliever,240992,28,358,470,5,0,Weak,0.052761012
229044,user229044,240978,41,348,350,5,0,Weak,0.052881197
12870,Oli,240766,68,227,305,37,0,Weak,0.056339874
1903116,thefourtheye,240749,53,466,505,42,0,Weak,0.062563898
654031,Chris Pratt,240518,37,414,470,132,0,Weak,0.059954472
2079303,eerorika,239948,13,213,355,134,0,Weak,0.047795862
50552,Andomar,239382,55,388,412,26,0,Weak,0.058651862
417562,lonesomeday,238779,54,330,329,882,2,Average,0.082564051
50742,Chuck,237714,31,308,393,5,0,Weak,0.050271053
2303865,Leo Dabus,237597,61,513,626,5,0,Weak,0.066353569
470005,Sergey Berezovskiy,237023,44,441,469,12,0,Weak,0.057792895
201359,&#211;scar L&#243;pez,236866,38,321,391,5,0,Weak,0.051958879
1386886,jAndy,236688,57,313,363,5,0,Weak,0.055409724
46642,R. Martinho Fernandes,236220,73,444,518,2752,2,Average,0.152470998
2380830,Bathsheba,235503,35,377,506,5,0,Weak,0.05477172
535871,Ted Hopp,235352,49,413,533,5,0,Weak,0.059231959
126014,Mark Seemann,234313,51,449,778,5,0,Weak,0.065557232
298225,Eric Postpischil,234236,15,200,383,5,0,Weak,0.043695187
1687119,dbush,234000,27,263,337,5,0,Weak,0.046715573
36723,bdonlan,233249,31,275,326,1153,2,Average,0.084063276
901925,hpaulj,233117,14,260,392,5,0,Weak,0.044805178
10397,Justin Cave,232712,25,378,395,5,0,Weak,0.049810793
11236,ripper234,231744,281,647,915,422,0,Weak,0.137070092
56338,sth,231328,56,289,370,5,0,Weak,0.054104719
125816,Sergio Tulentsev,231209,43,381,373,616,0,Weak,0.07266941
126769,nos,230734,60,436,516,5,0,Weak,0.061204589
15055,Claudiu,230727,174,507,702,334,0,Weak,0.102654917
190277,Ben Bolker,230691,26,405,499,5,0,Weak,0.052570699
2684539,Jarod42,229192,15,215,362,5,0,Weak,0.042895247
424499,Raymond Hettinger,229139,68,406,505,5,0,Weak,0.061898967
405015,thirtydot,228906,51,393,354,14,0,Weak,0.054844519
661519,juanchopanza,228301,35,421,493,5,0,Weak,0.05447859
193688,Chris Johnsen,227905,28,215,189,1436,2,Average,0.087463405
206403,gen_Eric,227756,42,304,343,8,0,Weak,0.050339786
3731501,Estus Flask,226754,80,478,621,5,0,Weak,0.068292832
116908,Carl Norum,226488,42,442,480,5,0,Weak,0.055974271
707111,Ry-,226313,56,496,504,5,0,Weak,0.060754164
576911,Howard Hinnant,225522,55,495,624,5,0,Weak,0.062971586
140719,sbi,225164,46,268,447,370,0,Weak,0.063858683
1090562,Salvador Dali,224499,151,728,768,80,0,Weak,0.094765967
17160,nosklo,224357,58,300,299,6,0,Weak,0.052370391
13,C. K. Young,224279,47,394,446,1279,2,Average,0.095578049
961113,Habib,224092,30,420,447,6,0,Weak,0.051825543
10676716,GMB,223818,25,103,151,813,0,Weak,0.063201119
521799,Lukas Eder,223772,138,731,1636,5,0,Weak,0.10801659
320615,Dogbert,223688,43,419,417,40,0,Weak,0.055095111
95706,Dan Moulding,223409,25,103,101,21,0,Weak,0.0368737
1749403,Sajeetharan,223242,65,370,410,5,0,Weak,0.057634586
1704166,Ryan Cavanaugh,223023,59,281,235,14,0,Weak,0.050892285
3293881,Divakar,222165,19,273,374,1479,2,Average,0.091260686
315935,Oleg,222122,36,415,826,195,0,Weak,0.066920665
825568,Joseph Silber,221041,59,369,293,567,0,Weak,0.071358694
328193,David,220855,43,249,341,5,0,Weak,0.048321414
584518,Lundin,220725,47,283,447,5,0,Weak,0.052197375
250259,John Conde,220464,100,465,504,5,0,Weak,0.069139452
40521,Shyju,219680,106,422,499,641,0,Weak,0.089582648
4604579,Val,218502,14,377,384,6,0,Weak,0.045231365
76217,dtb,217891,37,413,439,4289,1,Strong,0.18853334
50617,Employed Russian,217750,36,325,396,5,0,Weak,0.049154029
379897,R.. GitHub STOP HELPING ICE,217352,38,405,744,389,0,Weak,0.070934697
1197518,Steve,216621,22,242,296,6,0,Weak,0.041981992
825,Pat Notz,215984,31,95,92,12,0,Weak,0.036572637
82294,Dietrich Epp,215930,40,367,427,6,0,Weak,0.05140335
4983450,akuiper,215847,33,363,380,13,0,Weak,0.04895899
989121,georg,215671,57,325,401,1570,2,Average,0.103477445
5485167,yurzui,215283,32,450,413,5,0,Weak,0.05098264
140750,William Pursell,214504,49,279,317,90,0,Weak,0.051651043
449449,eumiro,214195,36,307,264,903,2,Average,0.074043814
253056,Paul R,214190,38,403,579,21,0,Weak,0.055228394
1679863,Rohit Jain,213909,45,420,535,385,0,Weak,0.067762249
324584,Mark Baker,213108,34,354,391,488,0,Weak,0.06397417
43089,Kenan Banks,212976,36,161,176,348,0,Weak,0.05119744
541686,user541686,212690,133,565,935,5,0,Weak,0.086849857
394487,siride,212509,5,43,63,334,0,Weak,0.038806734
87189,tadman,212410,23,237,266,10,0,Weak,0.041021305
5577765,Rabbid76,212224,30,164,206,5,0,Weak,0.039547926
5741205,MaxU - stand with Ukraine,211870,37,403,437,6,0,Weak,0.051179278
5486,Ryan Lundy,211396,41,187,216,91,0,Weak,0.045340775
2189127,James_D,211045,16,312,345,5,0,Weak,0.042419091
2836621,Mark Setchell,210440,32,310,506,5,0,Weak,0.049316094
505154,Andrew Clark,209795,36,286,310,6,0,Weak,0.045445317
2587435,Paul Samsotha,209789,39,504,756,6,0,Weak,0.060346766
2372064,MrFlick,209372,19,301,324,5,0,Weak,0.042180305
36565,David Rodr&#237;guez - dribeas,209290,23,304,497,110,0,Weak,0.050171134
383904,Roko C. Buljan,209159,41,336,347,5,0,Weak,0.048312879
1745001,Ed Morton,209012,18,90,213,5,0,Weak,0.034996307
243782,Pentium10,208802,124,436,513,5,0,Weak,0.072515353
616443,j08691,208577,33,269,281,5,0,Weak,0.04359443
635608,Mat,208089,41,409,423,5,0,Weak,0.051366181
14104,epascarello,207818,20,207,246,751,0,Weak,0.062245005
5202563,Ivan Stoev,207797,17,356,376,5,0,Weak,0.043818646
8690857,Drew Reese,207667,20,286,295,5,0,Weak,0.041233113
452307,Alok Save,207662,56,450,540,81,0,Weak,0.060464982
135589,Jesper,207656,47,325,361,7,0,Weak,0.049579796
434551,R Sahu,207240,15,168,291,5,0,Weak,0.037435854
20713,ephemient,206628,40,292,403,1108,2,Average,0.083103348
230513,trashgod,206065,33,265,1109,5,0,Weak,0.060892014
575376,juergen d,205419,40,306,377,8,0,Weak,0.04768269
850848,Martin Prikryl,205298,64,564,1118,5,0,Weak,0.074339048
615,Matt Hamilton,204955,61,395,322,188,0,Weak,0.058778232
893780,robertklep,204697,39,421,414,5,0,Weak,0.050532049
