user_id,DisplayName,Reputation,profile_views,up_votes_given_by_user,down_votes_given_by_user,CreationDate,LastAccessDate,gold_badges,silver_badges,bronze_badges,question_count,answer_count,comment_count,total_answer_score,accepted_answer_count,bounties_earned,bio_length,has_website,Location
3832970,Wiktor Stribiżew,631314,103716,21585,83619,12-07-2014 19:17,14-02-2026 22:59,41,504,634,0,20508,65368,43916,14908,2350,1098,1,"Warsaw, Poland"
18393,cletus,627184,73529,2325,384,19-09-2008 00:24,26-04-2024 16:00,169,923,945,57,2955,1757,65581,1250,1925,0,1,"New York, New York, United States"
505088,David Heffernan,616592,110340,14068,26726,25-08-2009 18:52,13-02-2026 09:13,46,1128,1540,84,12779,64766,59720,7479,1325,3978,1,"Ulverston, United Kingdom"
65863,Remy Lebeau,611176,73074,15570,6100,13-02-2009 02:07,14-02-2026 06:13,36,520,876,7,17612,46322,47650,9174,1400,1037,1,United States
279627,Sven Marnach,608522,25320,3602,471,23-02-2010 15:55,12-02-2026 20:15,123,969,866,12,2588,7293,62694,1509,650,272,1,"Preetz, Germany"
209103,Frank van Puffelen,603784,140698,21277,4474,11-11-2009 22:30,14-02-2026 23:33,85,897,870,28,18026,33115,44807,10676,1325,170,1,"San Francisco, CA"
104349,Daniel Roseman,601931,70164,12769,10358,10-05-2009 12:36,11-02-2026 14:53,68,912,924,8,12815,24254,49369,7053,350,30,1,"London, United Kingdom"
9951,Bite code,601061,46156,3443,188,15-09-2008 20:34,03-03-2024 19:13,118,310,336,212,469,1004,51591,131,1150,420,1,
203907,Bozho,599270,159180,7124,232,05-11-2009 18:11,30-10-2025 18:28,147,1074,1153,154,5600,5348,57150,2390,1625,615,1,"Sofia, Bulgaria"
70604,Pascal Thivent,572068,60080,4057,218,24-02-2009 23:21,17-12-2025 10:47,140,1071,1134,2,4670,4211,54368,2412,5850,2718,1,
20860,Bill Karwin,567932,66061,12573,251,23-09-2008 02:05,15-02-2026 00:59,87,713,875,14,9462,13764,48677,4915,6625,413,1,California
65358,Reed Copsey,566877,58430,6239,102,12-02-2009 00:21,12-02-2026 22:21,80,1189,1393,18,7399,6956,57501,3969,900,187,1,"Yarmouth, ME, USA"
1968,Konrad Rudolph,549787,88242,19009,1672,19-08-2008 15:59,15-02-2026 00:04,142,968,1258,106,4728,17398,57035,2105,600,443,1,"Basel, Switzerland"
9021,nickf,547992,20015,2539,283,15-09-2008 17:31,28-11-2025 05:53,199,660,727,329,1694,1972,35924,555,100,77,1,"Zürich, Switzerland"
1187415,Martin R,541577,47340,4248,7558,03-02-2012 11:49,14-02-2026 21:14,98,1281,1436,8,6046,22702,50318,4906,3150,0,1,Germany
341994,matt,540503,79553,3695,43132,15-05-2010 16:05,15-02-2026 00:58,97,950,1264,195,12170,38886,42631,6435,6850,906,1,
1126841,chepner,539043,34378,20297,7103,02-01-2012 21:41,13-02-2026 18:12,77,596,749,6,13546,52069,47503,5990,725,46,1,Connecticut
18936,bobince,538265,84099,3819,550,17-09-2008 20:27,31-01-2026 00:23,111,675,846,1,4558,5295,56576,2131,1175,889,1,"Cambridge, UK"
57695,Peter Lawrey,535223,86527,16690,361,21-01-2009 21:27,10-12-2025 11:09,83,772,1153,37,13464,30561,53817,4266,775,440,1,"Surrey, UK"
12950,tvanfosson,534369,53305,4692,348,16-09-2008 16:22,13-02-2026 23:46,102,703,801,41,5303,4537,49365,2120,150,377,1,"Iowa City, IA"
148870,Amber,532143,48404,932,242,01-08-2009 06:57,05-01-2026 06:47,89,643,558,2,3409,3336,51583,1549,,114,1,"Vancouver, BC"
224671,kennytm,526387,36728,5973,459,04-12-2009 10:54,28-11-2023 04:27,111,1099,1015,13,3798,5180,52066,2192,2400,0,1,Hong Kong
1863229,Tim Biegeleisen,526364,58745,17264,5232,29-11-2012 12:47,15-02-2026 00:16,32,325,400,77,22314,51765,36513,10789,50,469,1,Singapore
476,deceze,525030,99853,14885,79960,06-08-2008 08:15,15-02-2026 01:07,89,807,955,83,8857,40419,44160,4731,1225,1539,1,Germany
3681880,Suragch,516736,22192,15357,71,28-05-2014 01:38,19-11-2025 01:00,340,1425,1438,374,1023,1653,54449,267,300,332,1,
34509,Johannes Schaub - litb,510184,126988,4857,1903,05-11-2008 00:38,13-02-2026 13:55,132,928,1226,220,2558,10013,56233,1239,250,2130,1,"Frankfurt, Germany"
87234,GManNickG,506663,62768,12749,1029,05-04-2009 06:44,09-02-2026 19:13,56,505,551,18,1398,8934,23483,762,150,2560,1,
367273,NPE,503497,28468,4061,640,15-06-2010 12:55,01-02-2026 05:56,114,972,1031,58,6725,5707,54387,2873,300,56,1,"Zürich, Switzerland"
119963,Cascabel,502347,17872,1637,109,09-06-2009 16:22,08-02-2026 05:24,76,385,320,1,736,3188,50256,422,150,534,0,USA
1583,Oded,500992,61494,3786,3952,16-08-2008 20:54,16-10-2025 18:39,102,901,1026,35,7496,14501,46176,3098,250,368,1,"London, United Kingdom"
1256452,torek,500965,29452,4802,8,08-03-2012 07:18,14-02-2026 18:48,71,772,896,5,8031,21510,44677,4384,1675,0,1,"Bellingham, WA, USA"
179910,Jerry Coffin,495050,39440,8670,277,27-09-2009 23:38,14-02-2026 18:27,83,658,1155,3,9117,11117,47995,3070,800,454,1,"San Diego, CA, United States"
31671,alex,492472,44560,19445,2607,27-10-2008 01:07,25-07-2025 23:08,205,891,993,487,4757,7248,38640,1933,650,297,1,"London, United Kingdom"
16417,Paolo Bergantino,490200,27688,2144,887,17-09-2008 17:02,12-02-2026 19:35,83,525,437,18,1010,1200,48012,631,375,66,1,"Kennewick, WA"
734069,Nicol Bolas,482347,55787,5244,7501,02-05-2011 07:17,14-02-2026 18:24,66,864,1073,41,6564,16455,42071,3937,1700,606,1,
67579,willeM_ Van Onsem,482138,70940,23673,5129,17-02-2009 21:39,09-01-2026 17:40,33,484,624,99,14203,36422,35555,9242,625,1709,1,"Ypres, Belgium"
596781,Kerrek SB,480964,43727,6496,13258,30-05-2010 17:31,17-06-2024 09:57,96,905,1106,73,6309,26753,46211,2783,1300,0,1,West of house
771848,alecxe,476043,38707,36520,2753,26-05-2011 18:34,26-01-2026 19:36,127,1129,1234,223,8573,10067,39200,5616,8725,2421,1,"New York, United States"
922184,Mysticial,473173,140702,7114,3,31-08-2011 18:07,16-07-2023 03:57,46,343,337,2,845,5304,55546,568,2450,846,1,San Francisco Bay Area
223092,Mark Longair,472857,13832,1348,5,02-12-2009 17:24,18-11-2025 16:35,77,428,330,23,721,879,46855,464,650,244,1,"London, United Kingdom"
284240,Tim Schmelter,461973,52813,7444,2220,02-03-2010 08:55,14-02-2026 19:05,79,721,982,185,10906,26353,39392,5920,400,3144,1,Code desert
95592,Matthew Rankin,461337,14975,3167,14,24-04-2009 16:22,09-02-2026 19:23,39,130,166,72,118,114,29420,47,50,0,1,"Independence, Missouri United States"
263693,Stephen Cleary,461042,58735,1795,1260,01-02-2010 16:46,13-02-2026 09:46,78,724,859,13,5144,7719,41672,2895,1675,866,1,"Kingsley, MI"
73226,Martin Smith,457572,42695,16863,5949,03-03-2009 13:40,14-02-2026 23:41,97,778,887,24,5214,21541,42387,3131,3725,339,1,"Rugby, United Kingdom"
227665,codaddict,457316,23167,5653,62,09-12-2009 03:02,14-02-2024 05:15,83,503,538,8,2809,691,49134,1054,,97,1,"Mountain View, CA"
45375,mklement0,454481,24983,27806,935,11-12-2008 15:06,15-02-2026 00:57,68,732,995,26,8545,17938,38089,5032,2575,1330,1,United States
187606,Pekka,451213,77994,12207,9973,10-10-2009 10:29,18-06-2024 15:14,150,991,1099,256,6920,26821,41263,3212,1575,194,1,"Tabayesco, Lanzarote, Canary Islands"
1271826,Rob,441500,38785,8606,1414,15-03-2012 14:45,15-02-2026 00:59,74,852,1124,38,7113,15656,37560,4372,2325,0,1,"Los Angeles, CA, USA"
155423,Shepmaster,440559,47277,6891,4314,12-08-2009 21:18,13-02-2026 13:31,116,1267,1518,100,3206,10142,39722,2188,1675,796,1,"Pittsburgh, PA"
50079,Jon,439482,38176,2491,1118,30-12-2008 05:05,14-02-2026 23:54,85,758,820,14,5371,9613,44082,2851,1600,327,1,Berlin
479863,mu is too short,436510,58535,12919,2322,18-10-2010 22:44,14-02-2026 16:36,71,863,822,5,5777,14532,39566,3904,450,1126,1,"Gibsons, BC , Canada"
27535,gbn,434699,49558,4432,1044,13-10-2008 17:10,30-03-2024 16:29,85,602,690,10,5246,5752,40337,2322,1300,158,1,Switzerland
55159,Quassnoi,427719,29528,2886,103,14-01-2009 20:03,14-02-2026 20:31,94,629,624,17,4089,4480,41138,2032,1800,,1,"Moscow, Russia"
256196,Bohemian,427704,51012,11435,2855,21-01-2010 21:16,09-02-2026 00:36,103,606,751,129,10061,13810,35792,3207,1375,993,1,"Melbourne, Australia"
33708,Mehrdad Afshari,424116,58397,1700,646,03-11-2008 17:41,10-01-2025 23:37,93,864,796,8,2278,2790,44171,1036,100,140,1,"Bay Area, CA"
1705598,icza,423497,30029,7344,11,28-09-2012 07:43,14-02-2026 19:44,78,1016,906,14,3992,5679,38449,2821,2275,3267,1,"Budapest, Hungary"
276052,aioobe,422750,30371,7012,531,18-02-2010 12:32,14-02-2026 19:38,115,831,844,158,3052,5279,41000,1636,200,1590,1,"Stockholm, Sweden"
3043,Joel Coehoorn,418779,53768,13620,1767,26-08-2008 13:24,14-02-2026 20:51,114,582,820,103,8365,13748,38553,2581,50,339,1,"York, NE"
4279,jfs,417515,44104,23936,1064,02-09-2008 16:10,13-02-2026 13:05,211,1041,1746,38,4483,16638,39006,1525,1375,39,1,"Moscow, Russia"
182668,Pointy,415337,43010,16735,4045,01-10-2009 18:04,14-02-2026 19:40,62,600,634,60,6840,42563,35930,3450,600,61,1,"Austin, TX"
28804,mipadi,414104,16195,2813,301,17-10-2008 03:04,14-02-2026 03:26,91,538,489,86,1750,1336,36377,801,775,445,1,"San Francisco, CA"
440558,Some programmer dude,411843,109665,8851,6179,06-09-2010 10:41,14-02-2026 20:53,36,422,660,43,11959,79049,38056,5013,100,227,1,"Malmö, Sweden"
1288,Bill the Lizard,407615,169857,17067,23301,14-08-2008 12:14,14-02-2026 23:24,213,579,892,68,2051,3395,30083,662,325,1845,1,"Charlotte, NC"
4909087,coldspeed95,406748,76009,10154,8441,17-05-2015 14:31,04-01-2026 15:14,106,746,799,154,5644,19314,39275,3980,4125,3011,1,At an ipython shell near you
104891,CrazyCoder,405278,37126,3685,129,11-05-2009 16:04,12-02-2026 17:56,183,1025,945,0,2894,5997,37033,2130,250,460,1,"San Diego, CA, USA"
21234,skaffman,404685,55397,5427,3468,23-09-2008 16:38,14-02-2026 21:48,96,826,775,50,3245,4937,36330,1695,1300,0,1,"Melbourne, Australia"
9530,Adam Rosenfield,402846,25210,9521,566,15-09-2008 19:04,28-01-2026 18:53,103,525,600,28,2162,2774,39057,909,200,44,1,United States
28169,unwind,402017,34113,4813,621,15-10-2008 09:20,06-02-2026 09:11,64,492,620,8,6092,4925,38718,2026,750,1336,1,"Stockholm, Sweden"
138475,Pascal MARTIN,402008,30454,2821,54,15-07-2009 04:41,23-01-2026 10:22,82,665,666,3,2983,1532,39051,1499,1625,1463,1,"Lyon, France"
85371,sehe,400992,40958,17838,1608,31-03-2009 21:38,15-02-2026 00:17,49,475,676,18,9611,23395,32907,5132,5400,1320,1,Netherlands
541136,Aaron Hall,400928,83797,3238,1012,13-12-2010 21:54,12-02-2026 02:54,93,417,342,30,659,1092,40031,169,1150,1663,1,"NYC, NY, United States"
704848,EdChum,396970,33162,13509,9168,12-04-2011 20:25,26-11-2020 17:06,204,837,583,3,3057,10328,37043,2115,50,232,1,
1221571,Eran,395174,34424,11641,1710,20-02-2012 16:47,02-02-2026 15:08,57,726,793,12,8599,7900,38047,4447,625,115,1,Israel
267,Lasse V. Karlsen,394194,48623,5978,2247,04-08-2008 10:11,11-12-2025 08:45,108,652,845,301,2892,19941,36043,1341,275,386,1,"Porsgrunn, Norge"
895245,Ciro Santilli OurBigBook.com,394068,312657,21517,286,15-08-2011 16:13,14-02-2026 22:34,121,1349,1105,166,1890,6636,39052,91,975,4965,1,1999法轮功，2018包子露宪
10661,S.Lott,393036,87118,8540,912,16-09-2008 00:47,07-04-2025 17:14,83,522,792,15,3767,12126,35796,1080,400,620,1,"Norfolk, VA"
216074,poke,392221,33354,2540,760,21-11-2009 13:29,13-02-2026 15:06,80,596,632,82,3519,7554,34980,1852,1125,153,1,"Dortmund, Germany"
589924,ikegami,392118,23154,3578,2164,26-01-2011 00:02,14-02-2026 03:46,17,293,558,31,9854,28559,32431,4355,725,0,1,
3962914,Ronak Shah,390957,74073,6260,5649,21-08-2014 06:24,01-02-2026 07:15,20,173,237,34,17164,16077,26697,9965,675,134,1,"Pune, India"
7432,Bryan Oakley,388941,48877,15547,16230,15-09-2008 13:43,14-02-2026 18:42,53,586,741,36,9169,21358,31060,5025,1450,690,1,"Choctaw, OK"
114251,Arun P Johny,388777,72461,3306,134,29-05-2009 11:35,10-02-2026 15:54,68,533,532,67,11113,17196,32681,6325,475,464,1,"Cary, NC, USA"
1447675,Nina Scholz,387900,68534,7706,4700,10-06-2012 18:26,14-02-2026 22:28,26,367,417,0,14695,15017,30782,5847,1100,2859,1,
77567,rob mayoff,387595,25541,2129,267,13-03-2009 05:50,14-02-2026 19:00,69,842,887,2,4457,5006,34344,2817,7625,73,1,"Austin, TX, USA"
560648,Lightness Races in Orbit,387100,200286,13163,13591,02-01-2011 22:20,19-02-2021 18:09,77,674,1096,265,7112,46788,34457,2752,550,145,0,
276101,polygenelubricants,385322,30760,2007,51,18-02-2010 13:39,11-06-2019 07:46,129,569,627,110,1427,1766,35645,633,1175,890,1,"Palo Alto, CA"
263525,Denys Séguret,384105,32363,3069,6422,01-02-2010 13:30,08-01-2026 08:46,90,814,780,79,5542,11974,37600,3099,275,616,1,"Lyon, France"
139459,Sarfraz,383562,31855,8852,555,16-07-2009 12:52,13-02-2026 19:38,81,561,614,188,4243,2621,32038,1435,525,970,1,"Karachi, Pakistan"
224132,Peter Cordes,379341,106438,38684,9169,03-12-2009 18:17,15-02-2026 00:16,52,754,1030,28,6762,76080,34125,3709,5850,893,1,"Halifax, Canada"
14343,Ned Batchelder,378590,23089,2259,507,16-09-2008 23:18,14-02-2026 14:43,77,583,675,43,2764,2098,36585,1060,1000,549,1,"Boston, MA"
1240268,Andy Hayden,378523,18646,4845,1175,29-02-2012 12:41,14-05-2020 05:53,110,640,546,55,1958,4431,35588,1098,975,960,1,San Francisco Bay Area
3597276,Michael Benjamin,376036,19826,7900,1904,02-05-2014 18:15,14-02-2026 22:36,110,617,739,46,3033,6443,33388,1794,5225,281,1,USA
501557,templatetypedef,376009,44138,15647,143,09-11-2010 07:08,10-02-2026 14:59,113,954,1108,178,4346,6328,35144,2290,1625,111,1,
9515207,CertainPerformance,373671,48989,4476,69512,19-03-2018 07:56,04-05-2025 16:28,55,354,359,2,11131,17856,27762,6873,675,200,1,"Austin, TX, USA"
149392,sepp2k,371946,13968,10579,821,02-08-2009 20:29,14-02-2026 22:10,56,687,687,5,3175,4650,35677,1794,175,0,1,"Lübeck, Germany"
2225682,falsetru,371598,20584,3747,2094,29-03-2013 20:37,10-02-2026 21:39,69,770,660,1,5274,5721,33710,3433,175,41,1,"Seoul, South Korea"
2988,Jörg W Mittag,371229,38836,1266,24189,26-08-2008 10:27,14-02-2026 19:55,79,457,666,2,3988,9021,34147,1499,350,2110,1,"Karlsruhe, Germany"
2016562,Gabriele Mariotti,370607,32531,2857,310,27-01-2013 23:37,11-02-2026 14:50,114,1023,939,17,3525,4813,33704,1823,1225,541,1,Italy
143305,Dirk is no longer here,370050,66753,2676,1969,23-07-2009 00:34,10-02-2024 22:18,60,669,742,5,4036,9098,32701,1926,2225,964,1,"Chicago, IL, United States"
674039,wim,369061,22040,11533,9316,23-03-2011 23:40,14-02-2026 22:07,114,682,822,310,3071,7939,28836,1698,4175,786,1,"ℂ𝕙𝕚𝕔𝕒𝕘𝕠, 𝕀𝕃"
908494,abarnert,368100,28518,5486,4311,23-08-2011 20:55,14-03-2024 06:32,54,627,692,5,6313,28983,34049,3510,1000,1626,1,"San Francisco, CA"
166749,Fred Foo,365450,22261,8987,2403,01-09-2009 17:19,21-04-2016 13:00,80,766,852,68,3959,7992,38135,2022,375,0,1,
413501,Ladislav Mrnka,365029,40380,3611,71,06-08-2010 21:39,15-07-2024 21:43,60,666,673,70,4992,4740,31546,3277,1100,319,1,"Welwyn Garden City, United Kingdom"
215945,Mark Rajcok,365015,22720,3633,66,21-11-2009 03:43,28-10-2025 05:02,114,501,495,36,1038,1701,31727,543,500,1832,1,"New Jersey, USA"
68587,John Kugelman,364903,30915,13575,7303,19-02-2009 19:47,24-01-2026 22:48,71,555,600,27,4426,4754,33600,2381,175,802,1,Virginia
26428,Dennis Williamson,364320,20220,3450,14,09-10-2008 08:55,01-01-2026 15:05,96,387,446,18,2414,4983,34927,856,400,2688,1,United States
171456,Carol Skelly,364196,22554,4534,8374,10-09-2009 13:49,25-08-2025 17:59,92,741,651,26,3538,4115,33409,2013,775,1717,1,USA
415784,Sarfaraz Nawaz,363651,34335,11118,936,10-08-2010 05:22,01-02-2026 16:51,121,682,867,217,3034,7853,27334,1217,300,755,1,Singapore
118068,Marc B,361637,43784,2198,4888,05-06-2009 15:12,02-11-2016 21:30,44,433,508,0,10532,41544,31102,3923,425,32,1,Canada
139010,Matt Ball,361094,35393,4664,5123,15-07-2009 20:56,28-01-2026 16:02,102,656,725,103,3724,12208,29436,1914,100,0,1,Somewhere near the inner rim of the Orion Arm
4883,readonly,358694,5206,291,35,06-09-2008 10:24,31-08-2023 00:02,109,207,207,115,21,20,1018,10,,16,1,"Chicago, Illinois, United States"
5459839,trincot,357485,40679,3776,6580,18-10-2015 15:19,14-02-2026 22:00,38,282,341,5,13327,28270,23639,7781,3325,2228,1,Belgium
151292,James McNellis,357191,42100,1839,619,05-08-2009 19:01,09-12-2023 20:27,76,934,983,14,2713,5773,34912,1703,300,229,1,"Washington, DC"
73070,Joey,357044,21247,2000,594,03-03-2009 04:54,27-08-2025 10:30,88,705,700,67,3325,6546,32013,1540,150,792,1,"Tübingen, Germany"
487339,DSM,355438,15565,11229,293,26-10-2010 08:17,14-02-2026 03:19,67,606,504,0,2452,6721,33021,1674,350,150,1,Canada
34211,Andrew Hare,353288,36864,4527,40,04-11-2008 15:58,13-02-2026 01:15,75,649,642,13,2523,1097,35007,869,175,0,1,United States
938089,Rob W,350596,24007,2843,495,10-09-2011 10:44,11-10-2020 18:23,87,811,683,5,2756,7366,33550,1955,5075,868,1,The Netherlands
3153,Brian R. Bondy,349624,30645,2475,109,27-08-2008 02:45,12-09-2021 21:15,129,607,641,148,1330,1091,35063,465,125,895,1,"Ontario, Canada"
642706,Basil Bourque,348466,46417,32413,8874,03-03-2011 09:33,15-02-2026 00:20,130,952,1315,500,7096,17917,30160,1601,1450,23,1,
992484,MadProgrammer,347655,68538,11624,1519,13-10-2011 00:33,09-09-2025 06:39,22,244,379,26,11125,50202,27895,5686,325,269,1,"Melbourne, Australia"
16883,Michael Borgwardt,347442,33024,3077,1246,17-09-2008 21:54,07-11-2025 15:47,81,491,726,66,3020,2833,32934,880,225,96,1,"Munich, Germany"
131527,ghostdog74,346625,9002,207,250,01-07-2009 07:16,23-11-2014 00:26,62,264,349,12,2973,1319,33388,481,,0,0,
222908,Daniel Vassallo,345877,27824,4455,79,02-12-2009 13:17,19-09-2025 08:35,72,514,447,0,1544,1281,33163,857,425,283,1,"WA, USA"
94197,Andy E,345828,13108,3621,447,22-04-2009 08:23,13-02-2026 15:57,86,482,452,47,1690,3639,36165,903,1200,0,1,"Leeds, United Kingdom"
70393,karim79,343068,24025,5743,296,24-02-2009 14:42,26-06-2025 22:41,67,420,409,21,2511,1957,34623,1111,850,250,1,"Berlin, Germany"
4124317,ImportanceOfBeingErnest,342580,57941,2307,3481,09-10-2014 07:50,18-05-2021 00:11,61,741,773,15,5151,13975,29025,3595,1900,2344,1,QuantumLocation
5190,Vinko Vrsalovic,342572,16485,1190,164,08-09-2008 12:03,28-05-2025 18:21,55,341,374,44,1187,1372,30232,394,,174,1,"Madrid, Spain"
12711,Michael Burr,342429,22991,10957,580,16-09-2008 15:22,12-02-2026 20:17,52,553,774,7,3576,7486,32895,1382,1575,680,1,"Seattle, WA"
605744,Tomasz Nurkiewicz,342217,38660,4869,65,06-02-2011 23:08,20-01-2026 10:58,72,715,680,13,2948,2272,32558,1609,150,485,1,"Warsaw, Poland"
6782,Alnitak,340985,19687,1583,1963,15-09-2008 12:37,10-02-2026 15:40,72,420,503,48,3960,10744,30779,1741,900,1362,1,United Kingdom
2887218,jcalz,339931,26262,6663,84,16-10-2013 16:21,15-02-2026 00:05,29,453,451,2,5893,21300,26350,4994,4825,53,1,"Eau Claire, WI, USA"
18771,Tomalak,339624,30261,7761,436,19-09-2008 11:44,14-02-2026 10:46,68,547,635,55,5214,18057,29392,2754,600,536,1,"Frankfurt, Germany"
